#id	value
slug	similar-stories
sections-2/paragraphs-1/text	К 2008 году было ликвидировано около пятидесяти плотин — в основном, на северных реках. Это позволило снизить риски от половодья для популяций лосося. В 2009 году были запущены программы по выведению из строя плотин близ Овьедо. Более двадцати плотин на реке Гвадайра лишились лицензий на эксплуатацию и были демонтированы. На реке Бидасоа, на границе между Францией и Испанией, где построено около 100 плотин, препятствующих миграции рыбы, по экологическим причинам снесли пять плотин. Была снесена плотина Эль Транко на реке Мансанарес в Мадриде. В период между 2006 и 2016 в королевстве Наварро была уничтожена в общей сложности 31 плотина, 22 из которых принадлежали кантабрийскому бассейну и 9 — к бассейну Эбро. Постепенно В Испании происходит ренатурация рек и они возвращаются в свое естественное состояние.
sections-4/paragraphs-3/text	ГЭС на Эгийн-Голе — <a href='http://tayga.info/128344'>самая мощная из планируемых к строительству</a> и вызывает наибольшие опасения со стороны экологов. Она может спровоцировать изменение стока воды в Селенге: сейчас в летний период скорость стока составляет 335 куб. м/сек, а в зимний — 30 куб. м/сек. В результате строительства нескольких ГЭС на реке, зимой сбросы будут увеличены, так как воду нужно будет спускать через турбины для получения электроэнергии, а летом объем поступающей воды уменьшится. Как следствие — серьёзные нарушения в экосистеме Байкала: подъем уровня грунтовых вод, деградация земель, ухудшение качества воды из-за стока из загрязненного притока Орхон, изменение температурного режима, нарушение миграции рыб, увеличение потерь воды. Селенга уже обмельчала, и число личинок байкальского омуля снизилось с 18 миллиардов в год до 600 миллионов.
sections-0/title	Канал Дунай-Одра-Эльба, Чехия
sections-3/title	Оровилльская плотина, США
sections-4/paragraphs-2/text	В конце 2015 года на притоке Селенги — реке Эгийн-Голе — началось строительство гидроэлектростанции при поддержке китайской государственной корпорации «Гэчжоуба». Финансирует проект Китайский экспортно-импортный банк, который выделил правительству Монголии займ в размере одного миллиарда долларов. Интересно то, что в 2009-2010 годах Монголия пыталась получить финансирование от Всемирного банка, но российские власти сделали всё возможное, чтобы строительство не произошло.
id	8
teaser	
sections-0/paragraphs-0/style	italic
sections-3/paragraphs-2/text	В США за последние 50 лет демонтировали уже 600 плотин.
sections-4/title	ГЭС на Селенге, Монголия
sections-4/paragraphs-4/text	Борьбу со строительством гидроэлектростанции ведут российские экологи, Минприроды РФ и активисты международной коалиции «Реки без границ».
sections-2/title	Плотины в Испании
sections-4/paragraphs-0/text	Заказчик: правительство Монголии. <br />Начало строительства: 2015 г.
sections-4/paragraphs-1/text	Река Селенга протекает на территории Монголии и России и является крупнейшей из рек, впадающих в Байкал. Она обеспечивает до половины ежегодного притока воды в озеро. С середины 2000-х годов правительство Монголии не раз выражало желание построить энергетические объекты на Селенге и её притоках, но до реализации этих масштабных проектов дело не доходило до 2015 года.
sections-1/paragraphs-3/text	В настоящее время проект заморожен.
sections-4/paragraphs-0/style	italic
lead	В современном мире всё очевиднее становится, что восстановление окружающей среды и разумное использование природных ресурсов — необходимые для выживания человечества условия. Потому в XXI веке реки принято восстанавливать, а не превращать в каналы. Несколько примеров из ближнего и дальнего зарубежья тому доказательство.
sections-1/paragraphs-0/style	italic
sections-1/paragraphs-2/text	Проект вызвал возмущение у экологов, ведь строительство водного канала привело бы к потере многих редких видов и серьёзным экологическим проблемам. Среди центральноевропейских рек Эльба занимает особое место по разнообразию флоры и фаун, а область Hohe Garbe — один из немногих оставшихся естественных участков поймы реки. Активисты создали проект <a href='http://www.projekt-wwi.de/index.html'>WWI</a>, целью которого было остановить планы по развитию судоходства на Эльбе. Также контроль за состоянием окружающей среды в бассейне реки (в чешской и немецкой частях) осуществляется Международной комиссией по защите Эльбы — она принимает довольно жёсткие решения, вплоть до политических.
