#id	value
sections-0/paragraphs-13/text	В области экологии:
sections-0/paragraphs-1/text	В рамках Программы трансграничного сотрудничества Польша-Беларусь-Украина Европейского Союза на 2007-2013 годы был реализован проект «Восстановление магистрального водного пути Е40 на участке Днепр-Висла: от стратегии к планированию» с объемом финансирования 912 657 евро (далее — проект). 
sections-0/paragraphs-5/text	Антропогенное воздействие на реки увеличится из-за интенсификации речного транспорта и разрастания портов, что ухудшит качество воды в реках и окажет негативное влияние на флору и фауну. Е40 негативно отразится на природе на местном, региональном и даже глобальном уровне.
sections-0/paragraphs-32/text	По совокупности факторов гарантированным представляется только краткосрочный экономический эффект на период освоения инвестиций и выполнения подрядных работ по обустройству инфраструктуры Е40. В среднесрочном и долгосрочном периодах эффект от реализации данного инвестиционного проекта может быть нулевым или даже отрицательным. Такие перспективы не соответствуют принципам устойчивого развития, которые должны быть в основе инфраструктурных проектов. Водный транспорт ввиду низкой конкурентоспособности является наиболее дотируемой отраслью в расчете на единицу груза.
sections-0/title	Позиция организаций Беларуси, Украины и Польши о проекте восстановления магистрального водного пути Е40
sections-0/paragraphs-6/text	При строительстве водного пути Е40 будут затронуты особо охраняемые природные территории национального и международного значения — Рамсарские угодья, Natura 2000, Изумрудная сеть и Территории, важные для птиц. Реализация этого проекта входит в противоречие с обязательствами наших стран в рамках реализации Бернской конвенции, Боннской конвенции и других международных документов в области охраны природы.
sections-0/paragraphs-9/text	Но доставка нефтепродуктов по рекам Восточной Европы поставит огромные территории под угрозу возникновения техногенных катастроф. Известно, что аварии танкеров сопровождаются значительным экологическим и экономическим ущербом. 
sections-0/paragraphs-10/text	Украинская сторона рассчитывает на то, что по Днепру будут активно перевозиться белорусские калийные удобрения. Такие перевозки уже осуществлялись в 1990-е годы, однако в итоге от них отказались в силу экономической нецелесообразности. Экспорт белорусских калийных удобрений в значительной степени осуществляется на удаленные рынки Юго-Восточной Азии и Южной Америки. Даже если предположить, что их доставка от белорусско-украинской границы будет организована судами типа река-море, что исключит перегрузку в черноморских портах, такие суда на дальнем плече перевозок будут проигрывать крупным морским сухогрузам, которые в настоящий момент загружаются калийными удобрениями в балтийских морских портах с уже отлаженной логистикой.
sections-0/paragraphs-11/text	Доставка прочих видов грузов по Е40 будет иметь ограниченный потенциал в силу того, что логистика перевозок внутренними водными путями объективно проигрывает автодорожной и железнодорожной доставке в части скорости, возможности оперировать мелкими партиями товаров и появлением дополнительных звеньев в перегрузке.
sections-0/paragraphs-18/text	Пойменные луга Припяти являются связующим звеном для птиц, зимующих в Западной Африке и Европе и гнездящихся от Скандинавии до Якутии. Наиболее крупный в Восточной Европе — «Полесский» пролётный путь, центральной осью которого является пойма р. Припять. Реализация проекта резко снизит привлекательность Припяти, как последней естественной реки в Европе.
sections-0/paragraphs-38/text	Мы призываем правительства трех стран и институциональных инвесторов сосредоточиться на иных, более эффективных проектах в развитии транспорта и логистики. Высказываемся категорически против данного проекта на территории Беларуси, Украины и Польши и, требуем учесть мнение общественных организаций трех стран при решении вопроса о реализации проекта.
sections-0/paragraphs-7/text	Обращаем также внимание на повышенные инвестиционные риски проекта по восстановлению водного пути Е40. С одной стороны, проект требует значительных затрат. Так, только на создание водного хаба на границе Беларуси и Украины, а также дноуглубление Днепра, по оценкам Министерства инфраструктуры Украины, потребуется не менее 30 млн. долларов. В то же время ожидания по привлечению на данный водный путь значительных объемов грузов могут не оправдаться. Е40 не несет очевидных преимуществ для перемещения транзитных грузов.
sections-0/paragraphs-26/text	Строительство гидротехнических сооружений приведёт к уничтожению многих объектов исторического и культурного наследия, археологических памятников, расположенных в пойме Припяти.
teaser	Негосударственные и некоммерческие организации сошлись в едином мнении по вопросу восстановления водного пути Е40. В экологическую коалицию вошли следующие организации: ОО «Багна», ОО «Ахова птушак Бацькаўшчыны», ОО «Экодом», товарищество «Зеленая сеть», учреждение «Центр экологических решений», фонд «За чистую Припять», ОО «Время Земли».<br/><br/>Присоединиться к заявлению организаций можно заполнив <a href='https://docs.google.com/forms/d/1mB9Yx-UMju2EQ1ugdvsGqhhTzt9yBYXrFLnGxdv-UNM/prefill'>предварительную форму</a>.
date	2017-08-01
sections-0/paragraphs-12/text	На основании технико-экономического обоснования проекта и независимых экспертных заключений результатом реализации данного проекта ожидается:
sections-0/paragraphs-14/text	Будут разрушены места обитания редких видов птиц и других животных, под угрозой исчезновения окажутся пойменные дубравы и другие ценные растительные сообщества, Долины рек Вислы, Западного Буга, Припяти, а также Нарев и Пилица. Висла и Западный Буг являются коридорами, играющими очень важную роль в стратегии европейского биоразнообразия под названием общеевропейских коридоров. Они являются одними из немногих крупных рек в регионе Центральной Европы, которые ещё не полностью урегулированы.
sections-0/paragraphs-15/text	Среди уязвимых (чувствительных) в природоохранном отношении земель на оси Е40 наиболее значимы: коридоры и ядра международной и национальных экологических сетей, особо охраняемые природные территории разных категорий: заповедники, национальные парки, заказники и другие.
sections-0/paragraphs-0/style	bold
sections-0/paragraphs-8/text	Одним из вероятных грузов для доставки по E40 являются нефтепродукты производства Мозырьского НПЗ, поскольку они по своим технико-экономическим характеристикам в большей степени, чем большинство других товаров, подходят для транспортировки водными путями. 
sections-0/paragraphs-17/text	На значительной части оси Е40 в долинах рек ежегодные весенние паводки, питающие зависящие от них места обитания и создающие идеальные условия для большого числа мигрирующих птиц (главным образом, пластинчатоклювых и ржанковых). 
sections-0/paragraphs-21/text	Водный путь E40 будет проходить через Полесский радиационно-экологический заповедник в Беларуси и Чернобыльский радиационно-экологический биосферный заповедник в Украине, территории, где в настоящее время высокий уровень радиационного загрязнения, что не допускает хозяйственной деятельности. Речной ил — место накопления огромного количества радионуклидов. Нарушение радиоактивных песков, законсервированные на дне Киевского водохранилища создаст угрозу для безопасности питьевого водоснабжения ¼ населения Украины, а также создаст условия для возможного радиоактивного загрязнения столицы Украины — Киева.
sections-0/paragraphs-31/text	Окупаемость капитальных расходов не просматривается, а мультиплицирующий эффект вложений на экономику вызывает сомнения. Как отмечается в технико-экономической оценке проекта, в обозримом будущем не просматривается окупаемость капитальных затрат по обустройству Е40. Можно рассчитывать лишь на окупаемость текущих расходов на работу флота и обслуживание инфраструктуры, при условии, что удастся выйти на регулярные объемы перевозки более 6 млн. т грузов в год.
sections-0/paragraphs-36/text	<ul><li>Модернизация и популяризация IX международного транспортного коридора, а также его ответвления IXБ, которые соединяют Финляндию, Литву, Россию, Беларусь, Украину, Молдову, Румынию, Болгарию и Грецию.</li><li>Реализация проекта GО Highway по строительству нового скоростного автобана Гданьск — Одесса</li><li>Модернизация пограничных переходов и таможенных терминалов с целью создания безбарьерных условий по доставке грузов между Балтийским и Черноморским регионами.</li><li>Развитие железнодорожной инфраструктуры и международной доставки грузов этим видом транспорта, в частности, в направлении Китай — Северная Европа — Китай с использованием паромно-железнодорожной доставки грузов между портами Грузии, Турции и Украины.</li><li>Создание логистической инфраструктуры, приспособленной для обработки грузов, движущихся между Черноморским и Балтийским регионами.</li><li>Европейские инвесторы, в том числе институциональные, готовы поддержать реализацию данных проектов, поскольку они будут иметь гарантированный и долгосрочный экономический эффект, без значительных рисков для окружающей среды.</li></ul>
cover	
sections-0/paragraphs-24/style	h2
sections-0/paragraphs-24/text	В социальной сфере:
sections-0/paragraphs-27/text	Охота и рыбалка, как традиционные виды использования животного мира и являющиеся основным источником дохода для части местных жителей, также станут невозможными ввиду сокращения численности охотничьих животных и уменьшения рыбных ресурсов в водных объектах, на которых планируется провести работы в рамках проекта по восстановлению Е40.
sections-0/paragraphs-19/text	Преобладающими местами обитания в этих районах являются экстенсивно культивируемые луга, медленно зарастающие старицы, пойменные леса. Бóльшая часть долин рек находится под защитой международных природоохранных программы (Натура 2000 и другие).
sections-0/paragraphs-33/text	Обещаемый экономический эффект от создания рабочих мест на водном транспорте и его инфраструктуре будет нивелироваться возможным сокращением рабочих мест в секторах автодорожных и железнодорожных перевозок и ухудшением экономических показателей компаний-перевозчиков. Потери автомобильных перевозчиков могут составить порядка 80 млн. долл. в год. В случае создания системы гидротехнических сооружений на реке Припять и других, которые предусматривает проект, потребуются ежегодные огромные капиталовложения на поддержание и обеспечение функционирования этих сооружений. Проект не даёт ответ на вопрос: за счёт каких финансовых средств Е40 будет поддерживаться в функциональном состоянии.
sections-0/paragraphs-28/text	В области экономики:
sections-0/paragraphs-37/style	bold
sections-0/paragraphs-3/text	Восстановление водного пути Е40 предусматривает следующие мероприятия: на территории Польши должен быть построен искусственный канал длиной около 160 км; осуществлена модернизация и строительство гидротехнических сооружений в трех странах: на Висле, Днепре, Припяти и Днепро-Бугском канале (включая увеличение габаритов фарватера, строительство гидроузлов на реках, водохранилищ и т.д.). Морской институт (Польша) разработал технико-экономическое обоснование реализации такого проекта.
sections-0/paragraphs-25/text	Строительство водного пути E40 приведет к потере туристов, которые приезжают в Полесье главным образом, чтобы увидеть Припять — последнюю среднюю реку в Центральной Европе, которая сохранилась в мало изменённом виде. Таким образом значительное количество населения, ориентированного на получение доходов от предоставления услуг туристам и реализации своей продукции, потеряют работу и доходы.
sections-0/paragraphs-37/text	Учитывая вышесказанное, мы, общественные организации Беларуси, Украины и Польши намерены препятствовать созданию гидротехнических сооружений на реках Припять и Висла на всех этапах проекта, а в случае если такая инфраструктура будет создана — добиваться ее демонтажа.
title	Заявление организаций
sections-0/paragraphs-38/style	bold
sections-0/paragraphs-0/text	Общественные организации Беларуси, Украины и Польши обращают внимание на пагубные экологические последствия и повышенные инвестиционные риски проекта Е40 и призывают отказаться от его реализации, сосредоточившись на иных трансграничных проектах в сфере транспорта и логистики.
sections-0/paragraphs-4/text	Общественники и ученые Беларуси, Украины и Польши выступают против реализации такого проекта, так как существует прямая угроза утраты мест обитания и произрастания редких и находящихся под угрозой исчезновения видов, редких биотопов и природных ландшафтов, ухудшения гидрологического режима, снижения рыбных запасов и т.д.
sections-0/paragraphs-22/text	Водный путь Е40, в то же время является так называемым Центральным инвазионным коридором, по которому происходит инвазия понто-каспийских чужеродных гидробионтов в водные объекты Европы. Наиболее важным (и первым) звеном в этом коридоре является расположенный на территории Беларуси Днепро-Бугский канал, соединяющий бассейны Черного и Балтийского морей. Создание же (реконструкция) судоходных каналов и шлюзов для прохождения судов по белорусскому участку пути Е40 будет способствовать проникновению и дальнейшему распространению чужеродных понто-каспийских гидробионтов как на территорию Польши, так и других западноевропейских стран.
