#id,value
sections-0/sections-1/title,"Could you explain what ""social welfare"" is?"
sections-0/sections-6/title,The Danube and Rhine rivers are navigable and occupy an important place in the system of European cargo transportation. Can they serve as an example of water transport effective use?
title,The economist explains why the methodological errors of the E40 project developers disqualify their work
id,2
sections-0/profile/portrait,/static/experts/volosuk@2x.jpg
sections-0/sections-1/paragraphs-2/text,"I assume that if the analysis takes into account the costs along the entire E40 route (at the moment they are counted only for two sections of the route), and also include unaccounted multi-billion investment costs and correctly estimated external costs, then it will not be possible to talk about the project profitability."
sections-0/sections-2/paragraphs-0/text,"Both these elements are located on the territory of Poland. The first element is a bypass channel that would connect the Vistula and Mukhavets: the developers considered that it would be inappropriate to use the Medium Bug for the E40, since there are protected areas of the Natura 2000 network. The second element is the valley and bed of the Lower Vistula. It is a rather shallow river, which is preserved in the almost natural state, and corresponds to <a href='https://ru.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F_%D0%B5%D0%B2%D1%80%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D1%85_%D0%B2%D0%BD%D1%83%D1%82%D1%80%D0%B5%D0%BD%D0%BD%D0%B8%D1%85_%D0%B2%D0%BE%D0%B4%D0%BD%D1%8B%D1%85_%D0%BF%D1%83%D1%82%D0%B5%D0%B9'>the second class of navigability</a> while for river-sea vessels a minimum of the fourth class is required. All the other elements of the E40 route on the territory of Belarus and Ukraine were not included in the analysis of benefits and costs. The document sets out the approximate amount of necessary investment, but they are completely unfounded."
sections-0/sections-6/paragraphs-0/text,"They are absolutely different rivers. The Rhine was heavily transformed 150 years ago, when there was no other logistical alternative. Now there is a developed railway network, a network of highways and air routes, the pipeline that has an important place in the transport system of Belarus. And the Danube is a deep-water river, which flows in a serious tectonic fault, this is also an unsuitable example. It must be understood that transport is a means, not an end in itself. If we have a need to transport cargo or passengers from point A to point B, this can be done in different ways. For this, it is not necessary to invest billions in the destruction of the undisturbed nature."
lead,"""The report did not take into account the huge investment costs - about 12 billion euros."" The economist Svyatoslav Volyusuk together with his colleague Mikhail Tchaikovsky have conducted an analysis of the feasibility study of the E40 waterway restoration project and found a number of serious omissions that do not allow considering the feasibility study as an argument in favor of the project."
sections-0/sections-1/paragraphs-1/text,"However, according to the existing documents for the E40 project, the majority of benefits, which consists in reducing the shipping cost, will be in the hands of carriers - usually private companies. While the taxpayers bear the burden of project financing. Even if some uncertain oligarchs completely and gratuitously finance the E40 construction, this claim may be less acute, but it still remains - after all, if the project is implemented, we will get huge external costs associated with river ecosystems degradation, hydrological regime change and other irreversible changes in the environment."
sections-0/sections-3/paragraphs-0/text,"It can be concluded from the text that all the freight flows planning calculations were carried out on the basis of the model developed for the Netherlands. The disadvantage of the text is understatement, but at least from one fragment of the document such a conclusion can be drawn. As we understood, this forecast was made earlier within the framework of two international projects, in which the developers of the feasibility study took part. How well this model was adjusted at least to the conditions of Poland is difficult to say, there is no direct indication in the text. In any case, such a model is a ""black box"", because all calculations are done by a computer program. The report does not directly set out the assumptions and preconditions on which the calculations are based."
